sample.id num.tech.reps gender
NA06985 1 F
NA07000 1 F
NA07055 1 F
NA07056 1 F
NA07345 1 F
NA11830 1 F
NA11832 1 F
NA11882 1 F
NA11993 1 F
NA12004 1 F
NA12006 1 F
NA12044 1 F
NA12057 1 F
NA12145 1 F
NA12717 2 F
NA12813 1 F
NA12815 1 F
NA06993 1 M
NA06994 1 M
NA07022 1 M
NA07034 1 M
NA11829 1 M
NA11831 1 M
NA11839 2 M
NA11881 1 M
NA11992 1 M
NA11994 1 M
NA12003 1 M
NA12005 1 M
NA12043 1 M
NA12056 1 M
NA12144 1 M
NA12155 1 M
NA12264 1 M
NA12716 1 M
NA12750 1 M
NA12762 1 M
NA12814 2 M
NA12872 1 M
NA12874 1 M
NA12891 2 M
